case_id,timestamp,actor_type,owner,event_type,quality
INC-1001,2026-06-04T09:00:00Z,system,observability,created,
INC-1001,2026-06-04T09:02:00Z,agent,incident-agent,triage,
INC-1001,2026-06-04T09:05:00Z,agent,incident-agent,handoff,
INC-1001,2026-06-04T09:07:00Z,human,oncall-api,decision,
INC-1001,2026-06-04T09:18:00Z,human,oncall-api,action,
INC-1001,2026-06-04T09:24:00Z,human,oncall-api,resolved,91
INC-1002,2026-06-04T10:10:00Z,customer,support,created,
INC-1002,2026-06-04T10:23:00Z,human,support-l1,triage,
INC-1002,2026-06-04T10:44:00Z,human,support-l2,handoff,
INC-1002,2026-06-04T11:02:00Z,human,platform-team,decision,
INC-1002,2026-06-04T11:35:00Z,human,platform-team,resolved,74
INC-1003,2026-06-04T11:00:00Z,system,monitoring,created,
INC-1003,2026-06-04T11:01:00Z,agent,incident-agent,triage,
INC-1003,2026-06-04T11:03:00Z,agent,rollback-agent,decision,
INC-1003,2026-06-04T11:08:00Z,agent,rollback-agent,action,
INC-1003,2026-06-04T11:12:00Z,human,oncall-web,resolved,96
INC-1004,2026-06-04T12:30:00Z,system,observability,created,
INC-1004,2026-06-04T12:37:00Z,agent,incident-agent,triage,
INC-1004,2026-06-04T12:50:00Z,human,oncall-db,handoff,
INC-1004,2026-06-04T13:11:00Z,human,vendor-network,handoff,
INC-1004,2026-06-04T13:28:00Z,vendor,vendor-network,decision,
INC-1004,2026-06-04T13:52:00Z,vendor,vendor-network,resolved,68
